,RATE A,,RATE B,,RATE C,
 08/06/2025 00.15,,,,,189,
 08/06/2025 00.30,,,,,180,
 08/06/2025 00.45,,,,,165,
 08/06/2025 01.00,,,,,165,
 08/06/2025 01.15,,,,,165,
 08/06/2025 01.30,,,,,177,
 08/06/2025 01.45,,,,,171,
 08/06/2025 02.00,,,,,177,
 08/06/2025 02.15,,,,,180,
 08/06/2025 02.30,,,,,186,
 08/06/2025 02.45,,,,,183,
 08/06/2025 03.00,,,,,180,
 08/06/2025 03.15,,,,,180,
 08/06/2025 03.30,,,,,186,
 08/06/2025 03.45,,,,,183,
 08/06/2025 04.00,,,,,180,
 08/06/2025 04.15,,,,,174,
 08/06/2025 04.30,,,,,159,
 08/06/2025 04.45,,,,,147,
 08/06/2025 05.00,,,,,138,
 08/06/2025 05.15,,,,,135,
 08/06/2025 05.30,,,,,114,
 08/06/2025 05.45,,,,,108,
 08/06/2025 06.00,,,,,102,
 08/06/2025 06.15,,,,,105,
 08/06/2025 06.30,,,,,99,
 08/06/2025 06.45,,,,,99,
 08/06/2025 07.00,,,,,96,
 08/06/2025 07.15,,,,,96,
 08/06/2025 07.30,,,,,90,
 08/06/2025 07.45,,,,,81,
 08/06/2025 08.00,,,,,54,
 08/06/2025 08.15,,,,,54,
 08/06/2025 08.30,,,,,45,
 08/06/2025 08.45,,,,,63,
 08/06/2025 09.00,,,,,123,
 08/06/2025 09.15,,,,,81,
 08/06/2025 09.30,,,,,54,
 08/06/2025 09.45,,,,,93,
 08/06/2025 10.00,,,,,42,
 08/06/2025 10.15,,,,,27,
 08/06/2025 10.30,,,,,24,
 08/06/2025 10.45,,,,,21,
 08/06/2025 11.00,,,,,24,
 08/06/2025 11.15,,,,,24,
 08/06/2025 11.30,,,,,18,
 08/06/2025 11.45,,,,,15,
 08/06/2025 12.00,,,,,15,
 08/06/2025 12.15,,,,,21,
 08/06/2025 12.30,,,,,9,
 08/06/2025 12.45,,,,,9,
 08/06/2025 13.00,,,,,36,
 08/06/2025 13.15,,,,,48,
 08/06/2025 13.30,,,,,102,
 08/06/2025 13.45,,,,,123,
 08/06/2025 14.00,,,,,111,
 08/06/2025 14.15,,,,,69,
 08/06/2025 14.30,,,,,51,
 08/06/2025 14.45,,,,,21,
 08/06/2025 15.00,,,,,21,
 08/06/2025 15.15,,,,,27,
 08/06/2025 15.30,,,,,27,
 08/06/2025 15.45,,,,,39,
 08/06/2025 16.00,,,,,51,
 08/06/2025 16.15,,,,,66,
 08/06/2025 16.30,,,,,51,
 08/06/2025 16.45,,,,,51,
 08/06/2025 17.00,,,,,42,
 08/06/2025 17.15,,,,,48,
 08/06/2025 17.30,,,,,9,
 08/06/2025 17.45,,,,,27,
 08/06/2025 18.00,,,,,57,
 08/06/2025 18.15,,,,,69,
 08/06/2025 18.30,,,,,75,
 08/06/2025 18.45,,,,,78,
 08/06/2025 19.00,,,,,81,
 08/06/2025 19.15,,,,,78,
 08/06/2025 19.30,,,,,78,
 08/06/2025 19.45,,,,,78,
 08/06/2025 20.00,,,,,78,
 08/06/2025 20.15,,,,,75,
 08/06/2025 20.30,,,,,75,
 08/06/2025 20.45,,,,,78,
 08/06/2025 21.00,,,,,75,
 08/06/2025 21.15,,,,,75,
 08/06/2025 21.30,,,,,72,
 08/06/2025 21.45,,,,,75,
 08/06/2025 22.00,,,,,72,
 08/06/2025 22.15,,,,,72,
 08/06/2025 22.30,,,,,72,
