,RATE A,,RATE B,,RATE C,
31/08/2568 00.15,,,,,240,
31/08/2568 00.30,,,,,240,
31/08/2568 00.45,,,,,240,
31/08/2568 01.00,,,,,240,
31/08/2568 01.15,,,,,248,
31/08/2568 01.30,,,,,272,
31/08/2568 01.45,,,,,272,
31/08/2568 02.00,,,,,272,
31/08/2568 02.15,,,,,272,
31/08/2568 02.30,,,,,272,
31/08/2568 02.45,,,,,272,
31/08/2568 03.00,,,,,264,
31/08/2568 03.15,,,,,256,
31/08/2568 03.30,,,,,256,
31/08/2568 03.45,,,,,248,
31/08/2568 04.00,,,,,240,
31/08/2568 04.15,,,,,232,
31/08/2568 04.30,,,,,232,
31/08/2568 04.45,,,,,232,
31/08/2568 05.00,,,,,232,
31/08/2568 05.15,,,,,232,
31/08/2568 05.30,,,,,232,
31/08/2568 05.45,,,,,232,
31/08/2568 06.00,,,,,248,
31/08/2568 06.15,,,,,256,
31/08/2568 06.30,,,,,256,
31/08/2568 06.45,,,,,248,
31/08/2568 07.00,,,,,248,
31/08/2568 07.15,,,,,240,
31/08/2568 07.30,,,,,224,
31/08/2568 07.45,,,,,224,
31/08/2568 08.00,,,,,200,
31/08/2568 08.15,,,,,72,
31/08/2568 08.30,,,,,72,
31/08/2568 08.45,,,,,72,
31/08/2568 09.00,,,,,72,
31/08/2568 09.15,,,,,72,
31/08/2568 09.30,,,,,72,
31/08/2568 09.45,,,,,72,
31/08/2568 10.00,,,,,72,
31/08/2568 10.15,,,,,72,
31/08/2568 10.30,,,,,72,
31/08/2568 10.45,,,,,72,
31/08/2568 11.00,,,,,72,
31/08/2568 11.15,,,,,72,
31/08/2568 11.30,,,,,80,
31/08/2568 11.45,,,,,72,
31/08/2568 12.00,,,,,72,
31/08/2568 12.15,,,,,80,
31/08/2568 12.30,,,,,80,
31/08/2568 12.45,,,,,80,
31/08/2568 13.00,,,,,80,
31/08/2568 13.15,,,,,80,
31/08/2568 13.30,,,,,80,
31/08/2568 13.45,,,,,72,
31/08/2568 14.00,,,,,72,
31/08/2568 14.15,,,,,80,
31/08/2568 14.30,,,,,80,
31/08/2568 14.45,,,,,72,
31/08/2568 15.00,,,,,80,
31/08/2568 15.15,,,,,80,
31/08/2568 15.30,,,,,80,
31/08/2568 15.45,,,,,72,
31/08/2568 16.00,,,,,72,
31/08/2568 16.15,,,,,72,
31/08/2568 16.30,,,,,80,
31/08/2568 16.45,,,,,80,
31/08/2568 17.00,,,,,80,
31/08/2568 17.15,,,,,80,
31/08/2568 17.30,,,,,72,
31/08/2568 17.45,,,,,80,
31/08/2568 18.00,,,,,80,
31/08/2568 18.15,,,,,80,
31/08/2568 18.30,,,,,80,
31/08/2568 18.45,,,,,80,
31/08/2568 19.00,,,,,80,
31/08/2568 19.15,,,,,80,
31/08/2568 19.30,,,,,80,
31/08/2568 19.45,,,,,80,
31/08/2568 20.00,,,,,80,
31/08/2568 20.15,,,,,80,
31/08/2568 20.30,,,,,72,
31/08/2568 20.45,,,,,80,
31/08/2568 21.00,,,,,80,
31/08/2568 21.15,,,,,80,
31/08/2568 21.30,,,,,80,
31/08/2568 21.45,,,,,80,
31/08/2568 22.00,,,,,80,
31/08/2568 22.15,,,,,80,
31/08/2568 22.30,,,,,80,
31/08/2568 22.45,,,,,80,
31/08/2568 23.00,,,,,80,
31/08/2568 23.15,,,,,80,
31/08/2568 23.30,,,,,72,
31/08/2568 23.45,,,,,80,
31/08/2568 24.00,,,,,80,
01/09/2568 00.15,,,80,,,
01/09/2568 00.30,,,80,,,
01/09/2568 00.45,,,80,,,
01/09/2568 01.00,,,80,,,
01/09/2568 01.15,,,80,,,
01/09/2568 01.30,,,80,,,
01/09/2568 01.45,,,80,,,
01/09/2568 02.00,,,80,,,
01/09/2568 02.15,,,72,,,
01/09/2568 02.30,,,80,,,
01/09/2568 02.45,,,80,,,
01/09/2568 03.00,,,80,,,
01/09/2568 03.15,,,80,,,
01/09/2568 03.30,,,80,,,
01/09/2568 03.45,,,72,,,
01/09/2568 04.00,,,80,,,
01/09/2568 04.15,,,72,,,
01/09/2568 04.30,,,80,,,
01/09/2568 04.45,,,72,,,
01/09/2568 05.00,,,72,,,
01/09/2568 05.15,,,72,,,
01/09/2568 05.30,,,72,,,
01/09/2568 05.45,,,72,,,
01/09/2568 06.00,,,72,,,
01/09/2568 06.15,,,72,,,
01/09/2568 06.30,,,72,,,
01/09/2568 06.45,,,72,,,
01/09/2568 07.00,,,72,,,
01/09/2568 07.15,,,72,,,
01/09/2568 07.30,,,72,,,
01/09/2568 07.45,,,80,,,
01/09/2568 08.00,,,96,,,
01/09/2568 08.15,,,336,,,
01/09/2568 08.30,,,368,,,
01/09/2568 08.45,,,384,,,
01/09/2568 09.00,,,448,,,
01/09/2568 09.15,512,,,,,
01/09/2568 09.30,544,,,,,
01/09/2568 09.45,552,,,,,
01/09/2568 10.00,536,,,,,
01/09/2568 10.15,496,,,,,
01/09/2568 10.30,544,,,,,
01/09/2568 10.45,552,,,,,
01/09/2568 11.00,560,,,,,
01/09/2568 11.15,600,,,,,
01/09/2568 11.30,560,,,,,
01/09/2568 11.45,536,,,,,
01/09/2568 12.00,488,,,,,
01/09/2568 12.15,424,,,,,
01/09/2568 12.30,416,,,,,
01/09/2568 12.45,400,,,,,
01/09/2568 13.00,392,,,,,
01/09/2568 13.15,448,,,,,
01/09/2568 13.30,480,,,,,
01/09/2568 13.45,504,,,,,
01/09/2568 14.00,520,,,,,
01/09/2568 14.15,520,,,,,
01/09/2568 14.30,504,,,,,
01/09/2568 14.45,520,,,,,
01/09/2568 15.00,504,,,,,
01/09/2568 15.15,464,,,,,
01/09/2568 15.30,512,,,,,
01/09/2568 15.45,512,,,,,
01/09/2568 16.00,488,,,,,
01/09/2568 16.15,504,,,,,
01/09/2568 16.30,496,,,,,
01/09/2568 16.45,496,,,,,
01/09/2568 17.00,456,,,,,
01/09/2568 17.15,400,,,,,
01/09/2568 17.30,400,,,,,
01/09/2568 17.45,472,,,,,
01/09/2568 18.00,496,,,,,
01/09/2568 18.15,504,,,,,
01/09/2568 18.30,512,,,,,
01/09/2568 18.45,512,,,,,
01/09/2568 19.00,496,,,,,
01/09/2568 19.15,448,,,,,
01/09/2568 19.30,440,,,,,
01/09/2568 19.45,416,,,,,
01/09/2568 20.00,408,,,,,
01/09/2568 20.15,376,,,,,
01/09/2568 20.30,368,,,,,
01/09/2568 20.45,368,,,,,
01/09/2568 21.00,368,,,,,
01/09/2568 21.15,360,,,,,
01/09/2568 21.30,352,,,,,
01/09/2568 21.45,328,,,,,
01/09/2568 22.00,288,,,,,
01/09/2568 22.15,,,280,,,
01/09/2568 22.30,,,280,,,
01/09/2568 22.45,,,280,,,
